dt_iso,temp,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds_all
2017-01-12 21:00:00 +0000 UTC,23.8,22.74,24.18,1012,77,6.13,123,38
2017-01-12 22:00:00 +0000 UTC,21.52,21.31,22.14,1014,81,5.26,123,26
2017-01-12 23:00:00 +0000 UTC,20.73,20.34,20.89,1014,83,5.12,130,26
2017-01-13 00:00:00 +0000 UTC,20.34,19.84,20.65,1015,84,4.94,129,27
2017-01-13 01:00:00 +0000 UTC,20.11,19.64,20.54,1016,85,5.04,130,38
2017-01-13 02:00:00 +0000 UTC,20.06,18.64,20.57,1016,85,4.58,129,62
2017-01-13 03:00:00 +0000 UTC,18.91,18.34,19.46,1016,89,4.39,129,73
2017-01-13 04:00:00 +0000 UTC,18.81,17.84,19.34,1015,89,4.32,130,51
2017-01-13 05:00:00 +0000 UTC,18.73,18.14,19.31,1014,91,4.14,132,33
2017-01-13 06:00:00 +0000 UTC,18.64,17.84,19.24,1014,91,3.84,130,35
2017-01-13 07:00:00 +0000 UTC,18.9,18.14,19.49,1013,91,3.5,126,54
2017-01-13 08:00:00 +0000 UTC,18.84,17.84,19.43,1014,91,3.31,126,52
2017-01-13 09:00:00 +0000 UTC,18.95,17.74,19.53,1014,89,3.21,128,45
